Hotel_name,Price,Rating,Type,Pagenum,Original_price,Discount
Romeo Lane,₹ 1000 for two approx.,4.1,Multicuisine,1,₹ 1000 for two approx.,15% Off + 25% Off
Romeo Lane,₹ 1000 for two approx.,4.1,Multicuisine,1,₹ 1000 for two approx.,15% Off + 25% Off
Pirates Of Grill,₹ 1800 for two approx.,4.6,Multicuisine,1,₹ 1800 for two approx.,15% Off + 25% Off
Pirates Of Grill,₹ 1800 for two approx.,4.6,Multicuisine,1,₹ 1800 for two approx.,15% Off + 25% Off
one8 Commune,₹ 2000 for two approx.,4.3,Multicuisine,1,₹ 2000 for two approx.,15% Off + 25% Off
one8 Commune,₹ 2000 for two approx.,4.3,Multicuisine,1,₹ 2000 for two approx.,15% Off + 25% Off
TBSP - Tablespoon,₹ 2000 for two approx.,4.7,American,1,₹ 2000 for two approx.,15% Off + 25% Off
TBSP - Tablespoon,₹ 2000 for two approx.,4.7,American,1,₹ 2000 for two approx.,15% Off + 25% Off
Dasaprakash,₹ 1500 for two approx.,4.5,South Indian,1,₹ 1500 for two approx.,15% Off + 25% Off
Dasaprakash,₹ 1500 for two approx.,4.5,South Indian,1,₹ 1500 for two approx.,15% Off + 25% Off
Royal China,₹ 2500 for two approx.,4.6,Asian,1,₹ 2500 for two approx.,15% Off + 25% Off
Royal China,₹ 2500 for two approx.,4.6,Asian,1,₹ 2500 for two approx.,15% Off + 25% Off
KLAP,₹ 1200 for two approx.,4.4,Multicuisine,1,₹ 1200 for two approx.,15% Off + 25% Off
KLAP,₹ 1200 for two approx.,4.4,Multicuisine,1,₹ 1200 for two approx.,15% Off + 25% Off
Marieta,₹ 2000 for two approx.,4.3,"European, Mexican, Asian",1,₹ 2000 for two approx.,15% Off + 25% Off
Marieta,₹ 2000 for two approx.,4.3,"European, Mexican, Asian",1,₹ 2000 for two approx.,15% Off + 25% Off
Diablo,₹ 2000 for two approx.,4.1,"Finger Food, Mediterranean, Turkish, Iranian",1,₹ 2000 for two approx.,15% Off + 25% Off
Diablo,₹ 2000 for two approx.,4.1,"Finger Food, Mediterranean, Turkish, Iranian",1,₹ 2000 for two approx.,15% Off + 25% Off
Dear Donna,₹ 3000 for two approx.,3.7,"American, Finger Food",2,₹ 3000 for two approx.,15% Off + 25% Off
Dear Donna,₹ 3000 for two approx.,3.7,"American, Finger Food",2,₹ 3000 for two approx.,15% Off + 25% Off
PLATE,₹ 2500 for two approx.,4.5,Multicuisine,2,₹ 2500 for two approx.,15% Off + 25% Off
PLATE,₹ 2500 for two approx.,4.5,Multicuisine,2,₹ 2500 for two approx.,15% Off + 25% Off
Ophelia,₹ 2000 for two approx.,4.5,Multicuisine,2,₹ 2000 for two approx.,15% Off + 25% Off
Ophelia,₹ 2000 for two approx.,4.5,Multicuisine,2,₹ 2000 for two approx.,15% Off + 25% Off
Noor by Khubani,₹ 2500 for two approx.,3.7,"Mediterranean, Turkish",2,₹ 2500 for two approx.,15% Off + 25% Off
Noor by Khubani,₹ 2500 for two approx.,3.7,"Mediterranean, Turkish",2,₹ 2500 for two approx.,15% Off + 25% Off
Misosexy,₹ 4000 for two approx.,4.0,Pan Asian,2,₹ 4000 for two approx.,15% Off + 25% Off
Misosexy,₹ 4000 for two approx.,4.0,Pan Asian,2,₹ 4000 for two approx.,15% Off + 25% Off
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,₹ 1800 for two approx.,4.3,North Indian,2,₹ 1800 for two approx.,15% Off + 25% Off
